index,message,Nom_du_rappeur,date_message
1,"Zola a un style unique qui reflète la réalité des rues. Son flow est inimitable.",Zola,2023-02-01
2,"Les paroles de Luther sont souvent profondes et réfléchies. Il apporte une nouvelle dimension au rap français.",Luther,2023-02-02
3,"Selug a une énergie explosive sur scène. Ses performances live sont mémorables.",Selug,2023-02-03
4,"PLK continue de prouver son talent avec chaque nouvel album. Il évolue constamment.",PLK,2023-02-04
5,"Playboi Carti sait comment créer des hits accrocheurs. Sa musique est parfaite pour faire la fête.",Playboi Carti,2023-02-05
6,"Tiakola a une voix distinctive qui se démarque dans l'industrie du rap.",Tiakola,2023-02-06
7,"Moji Sboy apporte une touche de fraîcheur au rap français. Son style est novateur.",Moji Sboy,2023-02-07
8,"Winnterzuko a un flow rapide et technique qui captive l'auditeur. Il est sous-estimé dans le game.",Winnterzuko,2023-02-08
9,"Kaaris est un vétéran du rap français. Son impact sur la scène ne peut être ignoré.",Kaaris,2023-02-09
10,"Maes sait comment raconter des histoires captivantes à travers ses chansons.",Maes,2023-02-10
11,"PNL crée une atmosphère unique avec sa musique. Leur style planant est inimitable.",PNL,2023-02-11
12,"Niska a une présence scénique incroyable. Ses concerts sont toujours électriques.",Niska,2023-02-12
13,"XXXTentacion laisse un héritage musical puissant malgré son départ prématuré.",XXXTentacion,2023-02-13
14,"Josman apporte une touche d'humour et de réalisme à travers ses textes.",Josman,2023-02-14
15,"Bushi a un flow percutant qui ne laisse personne indifférent. Il mérite plus de reconnaissance.",Bushi,2023-02-15
16,"Nekfeu est un poète moderne du rap français. Ses paroles sont souvent introspectives.",Nekfeu,2023-02-16
17,"Alpha a une voix distinctive qui se démarque dans l'industrie du rap français.",Alpha,2023-02-17
18,"Damso excelle dans l'exploration de thèmes sombres à travers sa musique.",Damso,2023-02-18
19,"Kalash apporte une touche dancehall au rap français. Sa polyvalence est impressionnante.",Kalash,2023-02-19
20,"Jokair a un style mélodique qui le distingue. Sa musicalité est très appréciée.",Jokair,2023-02-20
21,"So La Lune crée une ambiance unique avec sa musique. C'est un artiste à suivre de près.",So La Lune,2023-02-21
22,"Ziak apporte une énergie brute et authentique à travers son rap. Il se démarque dans la scène actuelle.",Ziak,2023-02-22
23,"Kerchak est un artiste émergent qui apporte une nouvelle perspective au rap français.",Kerchak,2023-02-23
24,"Fave a un flow technique qui témoigne de sa maîtrise du rap. Il est prometteur.",Fave,2023-02-24
25,"Gazo excelle dans la création de morceaux entraînants qui restent en tête.",Gazo,2023-02-25
26,"Gradur a un style street et authentique qui résonne avec un large public.",Gradur,2023-02-26
27,"Leto a une approche brutale et sans compromis dans ses textes. Il ne mâche pas ses mots.",Leto,2023-02-27
28,"Lesram apporte une énergie contagieuse à travers sa musique. Il sait comment faire bouger la foule.",Lesram,2023-02-28
29,"Dinos a une voix mélodieuse qui se marie parfaitement avec ses productions. C'est un artiste complet.",Dinos,2023-03-01
30,"Orelsan est un véritable narrateur. Ses paroles sont intelligentes et percutantes.",Orelsan,2023-03-02
31,"Koba La D a un style sombre et percutant qui séduit les amateurs de rap hardcore.",Koba La D,2023-03-03
32,"Khali apporte une énergie brute et authentique à travers son rap. Il se démarque dans la scène actuelle.",Khali,2023-03-04
33,"Guizmo est un artiste indépendant qui défend son authenticité à travers sa musique.",Guizmo,2023-03-05
34,"Ajna a un style planant qui transporte l'auditeur dans un autre univers. C'est une expérience auditive unique.",Ajna,2023-03-06
35,"Artel excelle dans la création de morceaux atmosphériques et expérimentaux. Son approche est novatrice.",Artel,2023-03-07
36,"Arso911 a un flow rapide et technique qui captive l'auditeur. Il est sous-estimé dans le game.",Arso911,2023-03-08
37,"Laylow a une approche artistique innovante qui transcende les frontières du rap.",Laylow,2023-03-09
38,"Slimka apporte une énergie brute et authentique à travers son rap. Il se démarque dans la scène actuelle.",Slimka,2023-03-10
39,"Sopico excelle dans la création de morceaux atmosphériques et introspectifs. Son talent ne peut être ignoré.",Sopico,2023-03-11
40,"Nepal a un flow unique et des paroles percutantes qui font réfléchir. Il repousse les limites du rap français.",Nepal,2023-03-12
